TIC ID,TOI,Period (days),Duration (hours),Depth (mmag),Planet SNR,Sectors,label
149990841,167.01,4.4531846,1.687,6.435737,88.0,"1,2,4,5,7,8,9,11,12,27,28,29,31,32,34,35,36,37",transit
369457671,168.01,2.31446,1.347,1.292795,10.0,"1,27",transit
183120439,169.01,2.25544592236528,1.66786040481136,5.751925,34.75056,"13,27,28",transit
394698182,170.01,3.7115129,2.685,13.415381,156.0,"12,13,27,28,39",transit
309257814,171.01,1.23860103460573,1.9048913439245,13.291758,64.7628,"1,8,9,10,11,28,31,35,36,37,38,61,62,63,64",transit
309257814,171.02,1.81357672556142,1.07533164951732,4.532931,23.709396,"10,28,31,35,36,37,38,61,62,63,64",false_positive
29857954,172.01,9.47686,4.392,3.240324,14.0,"1,28",transit
270341214,173.01,29.7537451413829,8.07804450406273,6.917315,128.69139,"1,13,27,28,39,66,67,68",transit
270341214,173.02,9.17022647673136,5.68558419067641,0.332268,10.224759,"1,13,27,28,39,66,68",transit
425997655,174.01,17.667173473428804,2.665899439614735,0.819518,116.64054389501123,"1,2,3,4,11,29,30,31,34,64,68,69,95,96,97",transit
425997655,174.02,29.797538628778415,2.7293182899855606,0.667345,65.36281239939306,"1,2,3,4,11,29,30,31,34,64,68,69,95,96,97",transit
425997655,174.03,12.162304641895906,2.513204513768373,0.287773,27.29087030190326,"1,2,3,4,11,29,30,31,34,64,68,69,95,96,97",transit
425997655,174.04,3.9766833,1.859,0.154185,9.0,"1,2,3,4,11,29,30,31,34,64,68,69",transit
425997655,174.05,7.907630060628806,2.6394558388388467,0.230654,33.95473057548645,"1,2,3,4,11,29,30,31,34,64,68,69,95,96,97",transit
307210830,175.01,3.690675857802184,1.107,1.800557,80.0,"2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63,64,65,69,87",transit
307210830,175.02,7.4507305,0.475,1.675497,40.0,"2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63",transit
307210830,175.03,2.253106161749305,0.9939836545373176,0.741156,43.44456,"2,5,8,9,10,11,12,28,29,32,35,36,37,38,39,61,62,63,64,65,69",transit
272086159,176.01,16.155373,1.556705,80.224553,49.630848,"2,3,4,5,6,12",false_positive
262530407,177.01,2.8531016,1.2637530394460368,1.681051,30.282522,"2,3,29,69,96",transit
251848941,178.01,6.5578513,2.08,1.734219,18.0,"2,29,69",transit
251848941,178.02,20.708504,2.236524,1.800631,9.537692,2,transit
251848941,178.03,9.96163468923298,2.464805194329,1.178047,11.135912,"2,29,69",transit
251848941,178.04,3.23842531547921,1.99410554881088,0.578589,7.2096095,"2,29",transit
251848941,178.05,15.2321842764,2.5318137578854336,1.334683,8.475758,"2,29,69",transit
207141131,179.01,4.1374403333543235,1.587497022035615,1.095457,101.21471525927409,"2,3,29,30,96,97",transit
51912829,180.01,0.835389856074935,1.03851746954716,2.46238,63.1018,"1,2,28,29,68",transit
76923707,181.01,4.532050172920823,2.4927337752707297,8.511855,101.50356,"2,29,69",transit
76989773,182.01,1.7691703026302423,1.82497113636074,9.535688,240.81776,"2,29,69",transit
183979262,183.01,3.43075648471031,3.14433875572444,10.543911,160.65495,"1,2,27,28",false_positive
300871545,184.01,4.81706843753625,3.18226634465734,25.416252,851.03296,"1,2,3,4,5,6,7,8,9,10,11,12,13,61,62,63,65",false_positive
100100827,185.01,0.9414525,2.05,12.497907,519.0,"2,3,29,30,69",transit
279741379,186.01,35.61338894967539,3.053433483250138,1.518539,279.958799980734,"1,2,3,4,28,29,30,34,61,64,68,69,95,96,97",transit
279741379,186.02,7.789788618656058,2.3434341494716326,0.183581,34.07230536552281,"1,2,3,4,28,29,30,34,61,64,68,69,95,96,97",transit
260304296,187.01,0.51258067835787,1.64307746680151,6.196784,37.666416,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,31,32,61",transit
280830734,188.01,1.16195314705852,0.959259978996973,0.360112,16.500492,"1,2,27,28,29,63,67,68,69",transit
278866211,189.01,2.1940616278276917,1.155557328371316,6.472536,481.07067351523136,"1,2,3,5,6,8,9,11,12,13,28,29,30,32,33,34,35,36,38,39,61,62,65,66,67,68,69,87,88,89,93,94",false_positive
166739520,190.01,10.020593207375375,5.703376452891517,8.991925,207.3931106775596,"2,3,29,30,69,96,97",transit
183532609,191.01,8.1587261,4.288,16.780952,249.0,"2,29,69",transit
183537452,192.01,3.922711331243955,2.6326626155608337,12.407155,380.74051036202366,"2,29,69,96",transit
183985250,193.01,0.7920645022021054,0.3656119162795181,1.697006,402.9138215466691,"2,29,69,96",transit
211438925,194.01,4.8996461,3.07,11.962066,203.0,"2,29,69",transit
230982885,195.01,2.0727598,2.619,16.146013,171.0,"2,29,69",transit
234519192,196.01,1.16303717557098,1.45686033041135,0.444809,28.698704,"2,28,29,68,69",transit
441462736,197.01,14.28117312608152,8.571365978393725,0.828665,37.28745670176418,"2,29,96",transit
12421862,198.01,10.21520251255381,2.347621859753776,1.043402,13.1503315,"2,29,69",transit
309792357,199.01,104.87242523178372,6.68859192230242,12.942984,1197.578857145099,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,29,30,31,32,33,34,35,36,37,39,61,62,63,64,66,67,68,69,87,88,89,90,93,94,95,96,13881",transit
410214986,200.01,8.13822217724381,3.27970250585292,4.190364,46.739357,"1,27,28,67,68",transit
350618622,201.01,52.97873920258801,5.129374311224671,7.155688,881.8159059251503,"1,2,3,4,5,6,7,8,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,64,65,66,67,68,87,88,94,95,96,97",transit
350618622,201.02,5.8492379,3.257,0.118352,12.0,"1,2,3,4,5,6,7,8,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,64,65,66,67,68",transit
355509914,202.01,1.73866945118569,1.18983540008126,14.989264,17.820765,"1,2,28,29,68,69",transit
259962054,203.01,51.94509,8.094,2.754747,8.0,"1,2,3,27,28,29,30",noise
281781375,204.01,43.8297862506947,4.30113916787097,0.70299,10.029004,"1,2,28,29,68,69",transit
281575427,205.01,4.252985694067112,3.096122708814222,0.283566,24.89088428573583,"1,2,28,29,68,69,95,96",transit
55650590,206.01,0.736313219931196,0.673685332264972,1.436887,25.910513,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,65",transit
260271203,207.01,5.64928534420493,4.04240463488386,49.248931,160.72606,"1,2,3,4,5,6",false_positive
314865962,208.01,22.458619597002,7.19897194710332,0.48326,16.692709,"1,2,3,6,9,13,27,28,29,30,33,36,39,62,63,66,67,68,69",transit
52204645,209.01,4.37942977855793,1.66393541112462,1.053345,17.74379,"1,2,28,29,68,69",transit
141608198,210.01,9.01054136695366,1.84432641885461,4.488002,37.48086,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,37,38,39",transit
300293197,211.01,6.563865142331111,1.3516381266220108,2.334628,1509.471371204888,"1,2,3,4,5,6,7,8,9,10,11,12,13,28,29,30,31,32,33,34,35,36,38,39,61,62,63,64,65,66,67,68,69,88,89,90,93,95,96,97",transit
206609630,212.01,0.335271544311346,0.718985568482103,21.589005,191.81429,"1,2,28,29,68,69",transit
234345288,213.01,23.5199045,3.222,1.35041,23.0,"1,2,13,27,29,67,69",transit
234345288,213.02,7.75655337070455,2.43410425914672,0.310843,8.370144,"1,2,13,27,29,67,69",transit
167415965,214.01,18.55368017549928,3.4358705325137096,0.463093,263.52778772540717,"1,2,3,4,5,6,7,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,62,63,64,65,66,67,68,87,89,90,93,94,95,97",transit
167415965,214.02,9.695984127540886,2.7342847019466507,0.086335,25.344509191632543,"1,2,3,4,5,6,7,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,62,63,64,65,66,67,68,87",transit
231912935,215.01,26.285140386071,2.76927788470214,1.059335,11.035667,"1,2,28,29,68,69",transit
55652896,216.01,34.5059318313029,3.82066526942235,19.044823,147.80844,"1,2,3,4,5,6,7,8,9,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69",transit
55652896,216.02,17.3890453870803,2.65165405135838,3.231344,30.600433,"1,2,3,4,5,6,7,8,9,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39",transit
260043723,217.01,3.138585602920343,3.45940792154179,0.548779,737.084482139154,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,13113,51,96,97",false_positive
32090583,218.01,0.4384814340106602,0.5192935491485196,0.528315,21.918074,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,62,63,64,66,67,68,69",transit
32090583,218.02,8.35221428760477,1.66371193826867,4.26951,11.7393875,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,62,63,64,66,67,68,69",transit
260609205,219.01,4.46177548270279,5.45324943220963,20.666618,229.61232,"1,2,3,4,5,6,7,8,9,10,11,12,13,61,62,63,64,65,66,67,68,69",false_positive
150098860,220.01,10.695306511724072,1.9925230273026453,1.007812,389.9560411969477,"1,2,4,5,6,7,8,9,10,11,12,27,28,29,30,31,32,34,35,36,37,38,39,61,62,63,65,66,68,69,87,88,89,90,93,95,96,97",transit
316937670,221.01,0.62425,0.774288,1.036352,7.4479375,"1,2",false_positive
144440290,222.01,0.0,0.68,6.020784,20.308218,2,false_positive
326453034,223.01,14.445918,1.533311,1.3839,7.6791534,2,noise
70797900,224.01,705.584465845,1.9189212227768715,115.848195,261.3266,"2,29",transit
47525799,225.01,0.0,4.81205289402037,4.46567,22.755503,"2,29",transit
47484268,226.01,0.0,2.67,14.647222,16.452566,2,false_positive
2760710,227.01,0.0,1.51,33.518483,11.973635,"2,29,69",noise
77044471,228.01,2.6865063856827396,2.656723072884952,13.256374,35.624897,"2,29,69",transit
120610833,229.01,3.126075095855992,1.7204573923295836,12.183043,100.04508,"2,29,69",transit
160074939,230.01,13.340145,4.611198,0.640658,7.7575736,2,noise
204376737,231.01,3.36100125300996,2.56858693981516,26.466436,280.4428,"2,29,69",transit
402026209,232.01,1.33823135800679,2.1560676107495,29.870886,407.31158,"2,28,29,69",transit
415969908,233.01,11.6700285246663,2.05341430231857,3.026677,18.524107,"2,29,42,69",transit
415969908,233.02,7.20113832861414,2.14446806290895,1.806908,9.993935,"2,29,42,69",transit
12423815,234.01,2.83927933447518,1.40117909606073,38.940197,31.962164,"2,29,69",transit
280095254,235.01,10.0902589746917,1.75026452662193,2.811118,78.38961,"2,6,13,27,28,29,36,63,66,67,68,69",transit
9727392,236.01,4.534451,4.936391,25.902599,162.49565,2,false_positive
305048087,237.01,5.436166729046963,1.541967345155758,5.220949,8.17232,"2,29,69",transit
9006668,238.01,1.2730965,1.48,0.449588,13.0,"2,29,69",transit
9725627,239.01,4.15678335726899,3.94136088031713,5.257014,92.4371,"2,29,42,69,70",transit
101948569,240.01,19.472301648488,4.28932990625027,1.919304,10.936482,"2,29,69",transit
77031414,241.01,1.38665190413455,2.30067513238714,15.579144,131.61345,"2,29",transit
120585579,242.01,6.340315,4.249306,27.945906,95.53354,2,false_positive
149010208,243.01,3.43730925605269,4.31147545730356,16.429243,58.722694,"2,29",transit
118327550,244.01,7.397215983556253,1.3164962270220637,1.035795,11.878935,"2,29,69",transit
154618248,245.01,8.7709021,0.926,1.202576,11.0,"2,28,29,69",transit
158623531,246.01,7.8728936787037,3.75995783296396,16.012035,157.15222,"2,3,29",transit
160148385,247.01,3.42525631340766,2.46177615327214,15.553488,139.08589,"2,29,69",transit
201793781,248.01,5.9910772539032635,3.1710686821463914,0.42326,51.92484246865875,"2,3,29,30,69,96,97",transit
179985715,249.01,6.61531875224234,2.33458443381212,1.457354,11.296264,"2,29,69",transit
184240683,250.01,1.62842883309799,2.3682489533563,15.08604,202.14264,"2,29,69",transit
224225541,251.01,4.93772273227235,2.12942536115391,0.917639,13.305129,"2,29,69",transit
237924601,252.01,1.00218525235705,0.500192406308654,2.521831,21.775879,"2,3,11,28,29,30,31,34,38,61,62,64",transit
322063810,253.01,3.5104148387909,2.00000000001473,0.335358,9.053127,"2,29,69",transit
49687222,254.01,20.186539,1.866565,1.092846,8.4469795,2,noise
204317710,255.01,2.81264847067326,2.87375221777979,15.301175,24.578865,"2,29",transit
92226327,256.01,24.73734116,2.06905097692685,7.146432,19.97876,"3,30",transit
92226327,256.02,3.77794175247263,1.47593251726274,3.773458,17.645792,"3,30",transit
200723869,257.01,18.3877080853847,6.40515299694267,1.293913,39.21195,"3,4,30",transit
350445771,258.01,3.1901568769397,1.82628672075803,3.968274,48.47039,"1,2,3,4,5,6,7,8,9,10,11,12,13,61,62,63,64,65",false_positive
12862099,259.01,2.42382258353343,2.24840146327738,17.696733,36.095585,3,transit
37749396,260.01,13.475847841798752,2.064391330044608,0.770001,13.82877,"3,42,70",transit
63898957,261.01,3.3639253966859,3.34304953141334,0.458344,11.843994,"3,30",transit
63898957,261.02,13.0393586213526,4.92183246929998,0.679449,10.275119,3,transit
70513361,262.01,11.1452784382067,1.39477054541305,0.614998,12.805194,"3,30",transit
120916706,263.01,0.5568212477245754,0.9135250958873716,47.069262,24.404608,"3,30,97",transit
122612091,264.01,2.216743559386217,3.8789471605018897,4.613034,111.0,"3,4,30,31,97",transit
159951311,265.01,5.92426613248315,2.88944488847245,12.883844,94.41432,"3,4,30,31",transit
164767175,266.01,10.751124783434165,2.8581721113281966,0.636532,14.56528168952263,"3,30,97",transit
164767175,266.02,19.60509660339157,4.1605137935369765,0.641605,10.905440522290696,"3,30,97",transit
166836920,267.01,5.752580381164854,5.232598328082335,5.77167,146.38425716846675,"3,29,30,69,97",transit
219253008,268.01,5.066180251255082,5.713335952685371,1.724119,142.81031545584506,"3,4,5,30,31,32,97",transit
220479565,269.01,3.69771670923474,0.930826340882136,5.175721,41.52972,"3,4,5,6,10,13,30,31,32,33,36,63,64,66,67",transit
259377017,270.01,5.660477325087717,1.6617716161171816,3.754275,284.1311534168096,"3,4,5,30,32,97",transit
259377017,270.02,11.37969912165753,2.0489434475769053,3.219585,198.9146386531104,"3,4,5,30,32,97",transit
259377017,270.03,3.3601670547055087,1.3266673034451342,1.06095,95.68117928522524,"3,4,5,30,32,97",transit
259511357,271.01,2.4759869844775677,0.8790370544829371,0.51225,66.59351737934803,"3,4,5,30,31,32,97",transit
268766053,272.01,3.30984575478706,2.26765357766264,21.003286,107.77688,"3,30",transit
279740441,273.01,0.741859449402693,1.50269578059472,3.244273,16.765955,3,false_positive
281979481,274.01,0.5417947272272686,1.1716379465651348,0.584201,24.296259,"3,10,11,12,13,33,37,38,39",false_positive
373844472,275.01,0.9195617,1.153,10.013089,412.0,"1,3,4,5,6,7,8,9,10,11,13,27,28,30,31,33,34,35,36,37,38,61,62,64",transit
382188882,276.01,4.80009527427101,1.99686813524526,5.705381,161.17955,"3,4,6,7,9,10,11,13,27,28,30,31,32,33,34,36,37,38,39,63,64,65",false_positive
439456714,277.01,3.99344182704717,1.96930647255073,6.317673,20.975157,"3,30",transit
244161191,278.01,0.299039032681341,0.721810345413252,6.29449,15.355602,"3,30,70",transit
122613513,279.01,11.4707838,3.698,1.711383,12.0,"3,4,30",transit
42054565,280.01,10.1843061384695,1.72931305064769,0.91239,7.5270567,"3,30",transit
38696105,281.01,5.57653635665928,2.31404768365744,0.697724,26.159914,"3,11,12,28,29,30,31,32,34,35,36,38,39,62,63,64,65,66,67,68,69",transit
29781292,282.01,56.0045056484392,10.4337078606574,0.834078,43.312225,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,33,34,35,36,37,38,39,61,62,63,64,65",transit
29781292,282.02,31.32312,1.541,0.418089,7.0,27,noise
29781292,282.03,84.2607644501296,10.9250589902149,0.478009,17.34557,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,33,34,35,36,37,38,39,61,62,63,64,65",transit
29781292,282.04,22.890989717603276,2.3187084727637792,0.245786,37.07344013501579,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,13369,57,97",transit
382626661,283.01,17.617471587286758,3.635468045479605,0.7167,290.53285714802684,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,64,65,67,68,69,87,88,89,90,95,96,97",transit
277103955,284.01,1.3090665,2.844,0.226943,30.0,"1,3,4,5,6,7,8,10,11,13,27,28,30,31,32,33,34,35,37,38,62,63,65,66,67,68,69",false_positive
220459976,285.01,0.0,3.459632,2.636658,7.5875335,"2,3",transit
150030205,286.01,4.511729450820531,1.790699782184113,0.332427,211.7058107954861,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,13369,57,97",transit
150030205,286.02,39.361947,4.535,0.599492,24.0,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69",transit
2758565,287.01,3.78156832708302,2.01373455742849,16.411811,42.436813,"2,29,69",transit
47316976,288.01,711.747396305337,6.70756136635153,1.701763,34.83812,"2,28,68",transit
201292545,289.01,0.0,6.463,6.009866,33.0,"1,2",transit
201233610,290.01,21.05271,4.91,23.531352,51.0,"2,28,29",false_positive
49710555,291.01,12.08837,3.106,6.523116,16.0,"2,29",false_positive
180285396,292.01,10.3688701729557,2.48859189688225,17.008778,21.345016,"2,3,29,69",transit
355637190,293.01,0.8054361,1.06,3.240324,98.0,"1,2,28,29",transit
188570092,294.01,7.327945,2.896,14.988425,92.0,"2,42",transit
327952677,295.01,3.396944097608,2.41486867099551,11.122745,65.30301,"2,29,69,70",transit
382463648,296.01,25.2580074558748,3.7100518532667,9.210354,14.517789,"2,28,29,68,69",transit
115242351,297.01,5.67483267319457,1.783,9.147979,11.041838,"2,29,69",false_positive
206686292,298.01,1.32871823316226,1.7017623646289,10.012549,29.699768,"28,68",transit
156075294,299.01,5.7217123812393,3.77339867559703,5.939543,20.483212,"2,29,69",transit
166697854,300.01,2.75753,1.376,1.163936,17.0,2,false_positive
144301052,301.01,3.74401434756361,2.99497863647347,1.927355,10.574328,"2,29,69",transit
229111835,302.01,6.70145,1.579,11.943404,21.0,2,transit
145750719,303.01,3.5608112,3.389,5.322274,23.0,"2,29,42",transit
262530873,304.01,2.24172,3.989,26.041777,16.0,"2,3,29",false_positive
102030574,305.01,9.94915,3.968,25.174691,89.0,"2,29",transit
114749636,306.01,4.60274981778029,4.27023341680089,8.126349,66.638115,"2,29,69",transit
9100874,307.01,6.16683440688974,2.26192454050605,14.367309,21.72557,"2,29,69",transit
281710229,308.01,8.3092965,2.201,18.627251,99.0,"2,28,29",transit
228507250,309.01,6.15733002410606,2.7071868073506,14.036639,37.748936,"2,29,69",transit
175477257,310.01,4.26956745271824,3.70029176304336,9.389091,40.257168,"2,29,69",transit
434105231,311.01,0.7963207412645589,1.1937665106808164,22.990641,95.35774,"2,29,42,69,92",transit
180145006,312.01,3.54123103711607,2.4849488535777,5.474747,19.37609,"2,3,29",transit
9102327,313.01,3.2615,2.233,1.795424,16.0,2,false_positive
316769613,314.01,10.18108,3.674,1.292795,10.0,"2,29",transit
66356824,315.01,3.55562,1.838,2.837476,14.0,"2,3,29",false_positive
8988289,316.01,13.32379,2.561,109.240405,48.0,2,transit
402319411,317.01,3.32629767967537,2.94392288712629,26.624256,78.41019,"2,29,42,69,70",transit
206352378,318.01,3.74637647040525,1.95600910711775,20.667714,59.18872,"1,2,28,68,69",transit
389753172,319.01,0.7135373,0.892,20.318489,146.0,"1,2,28",transit
188593930,320.01,1.46503,1.145,3.438668,15.0,2,false_positive
175476629,321.01,1.14057,2.188,5.45213,16.0,2,false_positive
198077394,322.01,3.99053299831953,3.45390556645371,3.595832,62.982124,"2,3,4,5,12,29,30,31,32,69",transit
